TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
TOILETTES;;PARC KELLERMANN;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-kellermann-1794;"{""coordinates"": [[2.3549329205738974, 48.81857910392336]], ""type"": ""MultiPoint""}";48.81857910392336,2.3549329205738974
TOILETTES;;JARDIN DU MOULIN DE LA POINTE;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-du-monument-aux-meres-francaises-2564;"{""coordinates"": [[2.356788716578499, 48.82101412751667]], ""type"": ""MultiPoint""}";48.82101412751667,2.356788716578499
TOILETTES;;JARDIN JEAN-CLAUDE NICOLAS FORESTIER;75013;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-jean-claude-nicolas-forestier-2554;"{""coordinates"": [[2.348072406221041, 48.81884809913537]], ""type"": ""MultiPoint""}";48.81884809913537,2.348072406221041
TOILETTES;;PARC DES BUTTES CHAUMONT;75019;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-des-buttes-chaumont-1757;"{""coordinates"": [[2.3799274686578755, 48.878124294408764]], ""type"": ""MultiPoint""}";48.878124294408764,2.3799274686578755
TOILETTES;;JARDIN ATLANTIQUE;75015;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-atlantique-1775;"{""coordinates"": [[2.3196854419006425, 48.83980953472804]], ""type"": ""MultiPoint""}";48.83980953472804,2.3196854419006425
TOILETTES;;SQUARE DES BATIGNOLLES;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-batignolles-1761;"{""coordinates"": [[2.3172497877998164, 48.887198683574034]], ""type"": ""MultiPoint""}";48.887198683574034,2.3172497877998164
TOILETTES;;SQUARE DES EPINETTES;75017;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/square-des-epinettes-2631;"{""coordinates"": [[2.3268502410672474, 48.894764964434124]], ""type"": ""MultiPoint""}";48.894764964434124,2.3268502410672474
TOILETTES;;SQUARE JULES VERNE;75011;Voir fiche équipement;Oui;Oui;https://www.paris.fr/equipements/square-jules-verne-2841;"{""coordinates"": [[2.3752938045713656, 48.87001971632358]], ""type"": ""MultiPoint""}";48.87001971632358,2.3752938045713656
TOILETTES;;JARDIN DU PORT DE L'ARSENAL;75012;Voir fiche équipement;Oui;Non;https://www.paris.fr/equipements/jardin-du-port-de-l-arsenal-1783;"{""coordinates"": [[2.3676189218822197, 48.84888019194627]], ""type"": ""MultiPoint""}";48.84888019194627,2.3676189218822197
TOILETTES;;BOIS DE VINCENNES - DAUMESNIL;75012;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/parc-floral-de-paris-1;"{""coordinates"": [[2.414299848616877, 48.83277762088802]], ""type"": ""MultiPoint""}";48.83277762088802,2.414299848616877
TOILETTES;;PARC MONTSOURIS;75014;Voir fiche équipement;Non;Non;https://www.paris.fr/equipements/jardin-et-aire-de-jeux-de-la-zac-alesia-montsouris-2867;"{""coordinates"": [[2.3369443320563086, 48.82376169991306]], ""type"": ""MultiPoint""}";48.82376169991306,2.3369443320563086
WC PUBLICS PERMANENTS;;Parc Rives de Seine;75001;10h à 22h;Oui;;;"{""coordinates"": [[2.344286199307675, 48.85785376524151]], ""type"": ""MultiPoint""}";48.85785376524151,2.344286199307675
LAVATORY;;Avenue des Champs-Elysées;75008;;Oui;;;"{""coordinates"": [[2.317089878279596, 48.867262574141115]], ""type"": ""MultiPoint""}";48.867262574141115,2.317089878279596
SANISETTE;;AVENUE DE SUFFREN;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.308909490180236, 48.846023120096504]], ""type"": ""MultiPoint""}";48.846023120096504,2.308909490180236
SANISETTE;;face au 170 RUE DE LOURMEL;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.282556463784303, 48.839092109817905]], ""type"": ""MultiPoint""}";48.839092109817905,2.282556463784303
SANISETTE;;25  AVENUE DE LOWENDAL;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3035640343865422, 48.849184708415834]], ""type"": ""MultiPoint""}";48.849184708415834,2.3035640343865422
SANISETTE;;opposé au 17 RUE RENE BINET;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3405303893401146, 48.89928991429743]], ""type"": ""MultiPoint""}";48.89928991429743,2.3405303893401146
SANISETTE;;face au 52 BOULEVARD DE ROCHECHOUART;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3459061828144248, 48.88324708107194]], ""type"": ""MultiPoint""}";48.88324708107194,2.3459061828144248
SANISETTE;;57  RUE DE LA CHAPELLE;75018;6 h - 22 h;Oui;;;"{""coordinates"": [[2.358838883116349, 48.89508955698618]], ""type"": ""MultiPoint""}";48.89508955698618,2.358838883116349
SANISETTE;;face au 90 BOULEVARD DE LA CHAPELLE;75018;24 h / 24;Oui;;;"{""coordinates"": [[2.3534292671943193, 48.884078653316436]], ""type"": ""MultiPoint""}";48.884078653316436,2.3534292671943193
SANISETTE;;7  RUE DE CAMBRAI;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3789629758483417, 48.895495351952356]], ""type"": ""MultiPoint""}";48.895495351952356,2.3789629758483417
SANISETTE;;RUE BOTZARIS;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.384420443356067, 48.87938389016798]], ""type"": ""MultiPoint""}";48.87938389016798,2.384420443356067
SANISETTE;;face au 12 RUE BELGRAND;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4007780609553024, 48.864879404082494]], ""type"": ""MultiPoint""}";48.864879404082494,2.4007780609553024
SANISETTE;;34  RUE DURIS;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3876318327161696, 48.86596750742653]], ""type"": ""MultiPoint""}";48.86596750742653,2.3876318327161696
