TARIF,ACCES_PMR,GESTIONNAIRE,LOC,TYPE,LAT,LONG
gratuit,Non,Paris,SQUARE VIOLET 75015.0,TOILETTES,48.844292287340586,2.2891995647697234
gratuit,Oui,Paris,SQUARE PIERRE-ADRIEN DALPAYRAT 75015.0,TOILETTES,48.83776398633028,2.313031069862712
gratuit,Non,Paris,SQUARE EMMANUEL FLEURY 75020.0,TOILETTES,48.869910698557405,2.4110869136134663
gratuit,Non,Paris,SQUARE VAN VOLLENHOVEN 75012.0,TOILETTES,48.834706801799896,2.406786549937932
gratuit,Oui,Paris,SQUARE MONSEIGNEUR MAILLET 75019.0,TOILETTES,48.87669393559697,2.3931583823685254
gratuit,Oui,Paris,PARC DES BUTTES CHAUMONT 75019.0,TOILETTES,48.882377973295455,2.382779015108048
gratuit,Non,Paris,SQUARE DES SAINTS-SIMONIENS - MENILMONTANT 75020.0,TOILETTES,48.8708534006859,2.396969579365494
gratuit,Non,Paris,SQUARE ALEX BISCARRE 75009.0,TOILETTES,48.87858749857325,2.336728381553658
gratuit,Oui,Paris,BOIS DE VINCENNES - PLATEAU DE SAINT-MANDE 75012.0,TOILETTES,48.84310448292203,2.420418982190452
gratuit,Non,Paris,JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR 75005.0,URINOIR FEMME,48.848303082096535,2.359059981372502
gratuit,,Paris,Boulevard Arago 75014.0,WC PUBLICS PERMANENTS,48.83468779460271,2.3408276922295355
gratuit,Oui,Paris,face au 57 BOULEVARD LEFEBVRE 75015.0,SANISETTE,48.830961567192446,2.2918340857566566
gratuit,Oui,Paris,face au 200 RUE DE LA CONVENTION 75015.0,SANISETTE,48.83718929817781,2.296801972420026
